record_id,pipeline_id,source_system,data_type,owner_team,ingestion_timestamp,last_validated_at,trust_score,completeness_ratio,freshness_hours,lineage_depth,row_count,null_rate,duplicate_rate,anomaly_score,schema_version,data_format,storage_region,applied_transformations,record_tags,data_classifier,pipeline_status,is_pii_masked,checksum_valid,sla_met,alert_triggered
REC-CEYYW5HN,ETL_Pipeline_01,Oracle_DB,user_events,analytics_core,2024-02-07 13:02:50,2024-06-13 08:12:17,0.7102,0.7938,676.83,5.0,2831456,0.0345,0.0292,0.2341,v2.0,delta,ap-south-1,NORMALIZE|FILTER|ENRICH,public|batch|real_time,regulatory,under_review,True,True,YES,False
REC-QJ4ZPI8A,Batch_Transform_03,S3_Bucket_A,financial_records,infra_team,2023-10-11 10:19:02,2023-11-24 17:49:25,0.8261,0.8926,380.48,7.0,9020476,0.0286,0.079,0.1324,v5.7,parquet,us-west-2,CAST,batch|real_time,ml_ready,deprecated,False,False,YES,False
REC-JAE6MJXE,Archival_08,Oracle_DB,financial_records,analytics_core,2023-03-31 03:33:06,2024-04-15 10:04:36,0.9522,0.7972,169.69,8.0,6030139,0.0357,0.0111,0.0589,v5.9,avro,ap-south-1,SPLIT,batch,raw,active,False,False,YES,True
REC-J7G0GWJ3,Aggregation_05,REST_API_v2,clickstream,data_team_alpha,2023-02-04 19:57:35,2023-09-30 17:48:51,0.8097,0.9778,331.22,7.0,-9999,0.0648,0.0164,0.1874,v5.9,json,ap-south-1,MERGE|JOIN|FILTER,pii|financial|batch,high_value,active,False,True,YES,False
REC-BSG71P3T,CDC_Pipeline_04,S3_Bucket_A,financial_records,bi_squad,2024-08-31 07:43:34,2024-11-09 14:40:41,0.6268,0.7862,297.41,2.0,73958,0.1491,0.05,0.255,v1.7,avro,ap-southeast-1,CAST|NORMALIZE|DEDUPLICATE,real_time|financial,archival,under_review,False,True,YES,False
REC-K6RPRVXT,Batch_Transform_03,FTP_Server,inventory,finance_ops,2023-09-19 14:30:04,2024-12-16 16:37:27,Unknown,0.8328,690.13,8.0,9407959,0.011,0.0794,0.0821,v5.0,delta,us-east-1,CAST|AGGREGATE|FILTER,public,ml_ready,validated,True,True,YES,False
REC-ZQGA5PB9,ML_Feature_06,MongoDB_Atlas,inventory,ml_platform,2023-03-27 21:00:37,2024-01-10 09:48:49,0.7952,0.8419,130.66,6.0,9018484,0.1165,0.0661,0.0309,v3.8,parquet,us-east-1,DEDUPLICATE|ENCRYPT|ENRICH|MERGE,sensitive,regulatory,quarantined,True,True,YES,True
REC-F1VI9AL6,Batch_Transform_03,S3_Bucket_A,transactions,analytics_core,2024-03-10 08:37:57,2024-04-07 05:10:09,0.7051,0.8506,675.73,8.0,2408194,0.1239,0.0375,0.0169,v1.8,parquet,us-west-2,ENCRYPT|NORMALIZE|MERGE|AGGREGATE,financial|public,archival,deprecated,False,True,YES,False
REC-YG0Z719D,CDC_Pipeline_04,Oracle_DB,financial_records,analytics_core,2024-04-28 23:59:08,2024-07-12 06:25:14,0.5128,0.8197,675.23,7.0,942294,0.0623,0.031,0.1723,v4.1,csv,us-west-2,NORMALIZE|ENRICH|AGGREGATE,batch|operational,raw,under_review,False,True,YES,False
REC-W0OFZZVH,Reporting_07,Oracle_DB,inventory,bi_squad,2024-03-29 00:36:26,2024-04-04 21:25:26,0.9291,0.94,595.15,6.0,7013481,0.038,0.0648,0.0853,v1.0,orc,ap-south-1,NORMALIZE|AGGREGATE,sensitive|batch|pii,raw,under_review,False,True,YES,False
REC-IP3C3IDF,Aggregation_05,MySQL_Prod,inventory,analytics_core,2024-08-22 02:27:15,2024-10-01 11:17:58,0.8066,0.9792,61.48,6.0,1028385,0.0455,0.0043,0.1419,v2.0,avro,ap-southeast-1,JOIN|SPLIT,operational|sensitive,ml_ready,deprecated,False,True,YES,False
REC-Q8I4ED25,Aggregation_05,MongoDB_Atlas,inventory,infra_team,2023-02-16 08:27:54,2023-10-30 15:58:10,0.8556,0.7926,409.76,2.0,821833,0.0163,0.0309,0.2467,v5.0,avro,ap-south-1,SPLIT,pii|financial|public,ml_ready,validated,True,False,YES,False
REC-OF8GV97N,Archival_08,REST_API_v2,audit_logs,bi_squad,2024-05-25 23:25:21,2024-07-31 12:44:22,0.7536,0.8853,334.02,8.0,9136026,0.0668,0.0278,0.086,v2.7,JSON,ap-south-1,NORMALIZE|AGGREGATE|CAST,internal|pii|financial,low_latency,vALIDATED,False,True,YES,False
REC-0GS45RZN,ML_Feature_06,MongoDB_Atlas,financial_records,bi_squad,2099-06-11 00:00:00,2023-08-29 14:39:11,0.6149,0.9519,668.02,6.0,3726588,0.0868,0.0465,0.1223,v2.5,delta,us-west-2,MERGE|JOIN|FILTER|ENRICH,financial|pii,raw,deprecated,False,False,YES,True
REC-GD2L067I,ML_Feature_06,Oracle_DB,sensor_readings,ml_platform,2023-04-07 17:08:09,2023-04-13 11:05:55,0.8907,0.9627,41.69,6.0,6200198,0.1122,0.0434,0.1916,v3.2,json,eu-central-1,NORMALIZE|JOIN|ENRICH|FILTER,financial,ml_ready,deprecated,True,True,YES,False
REC-JW9SVRSW,Batch_Transform_03,MongoDB_Atlas,sensor_readings,finance_ops,2024-10-10 22:45:54,2024-10-11 10:30:49,0.9324,0.8047,154.31,1.0,6056296,0.1011,0.0561,0.1419,v1.5,json,us-east-1,CAST|ENCRYPT,pii|operational,high_value,quarantined,True,True,NO,False
REC-KNP1SDPG,CDC_Pipeline_04,Snowflake_DW,user_events,data_team_beta,2024-11-15 21:01:25,2024-12-27 10:33:34,#ERROR!,0.7613,443.09,4.0,6235211,0.1432,0.0327,0.0416,v5.1,json,us-west-2,JOIN,pii|financial,high_value,deprecated,True,True,YES,False
REC-YHRJDRMP,ML_Feature_06,MySQL_Prod,sensor_readings,data_team_beta,2023-12-31 18:13:10,2024-10-02 13:32:03,0.5415,0.9401,550.45,1.0,6093738,0.0219,0.0404,0.1419,v5.3,delta,eu-central-1,JOIN|FILTER|ENCRYPT,pii|financial,raw,under_review,False,True,YES,True
REC-01FA1OZ1,Reporting_07,Kafka_Stream,financial_records,infra_team,2024-07-19 22:35:48,2024-08-02 11:39:34,0.8563,0.716,479.5,7.0,9969596,0.1489,0.0772,0.0219,v5.5,avro,ap-south-1,AGGREGATE,internal|pii|financial,ml_ready,active,False,True,NO,True
REC-RAMR71B6,Batch_Transform_03,Oracle_DB,clickstream,infra_team,2023-12-07 14:01:07,Unknown,0.673,0.8293,342.76,2.0,7594146,0.0277,0.0408,0.2719,v1.5,avro,ap-south-1,JOIN|MERGE,pii|sensitive|real_time,low_latency,validated,True,True,NO,False
REC-5L8TOVHI,ETL_Pipeline_01,S3_Bucket_A,inventory,finance_ops,2023-09-30 05:43:11,2024-10-22 04:32:38,0.7269,0.7476,528.61,1.0,5735663,0.0657,0.0525,0.2071,v2.0,parquet,ap-south-1,JOIN|DEDUPLICATE|FILTER,internal,low_latency,deprecated,True,True,YES,False
REC-0HCUNPQ0,CDC_Pipeline_04,S3_Bucket_A,telemetry,infra_team,2023-02-02 05:17:40,2023-12-26 18:25:37,0.514,0.8685,174.43,6.0,8544434,0.0284,0.0571,0.1874,v3.0,avro,ap-southeast-1,SPLIT|NORMALIZE|JOIN|FILTER,public,high_value,deprecated,False,True,YES,False
REC-33ICM38V,CDC_Pipeline_04,MySQL_Prod,clickstream,data_team_beta,2023-06-29 22:04:26,2023-11-06 10:59:14,0.858,0.722,106.05,7.0,5736919,0.0194,0.0617,0.0936,v2.1,json,ap-south-1,JOIN|AGGREGATE|ENCRYPT|MERGE,pii|financial,ml_ready,under_review,False,False,NO,False
REC-1HX69O2E,ML_Feature_06,Snowflake_DW,telemetry,ml_platform,2024-07-19 02:35:56,2024-12-22 21:58:32,0.5381,0.7059,112.06,3.0,4683536,0.0629,0.0509,0.1184,v3.7,CSV,ap-southeast-1,FILTER,pii|financial|operational,low_latency,quarantined ,False,False,YES,False
REC-C289EK3T,Stream_Ingest_02,Redshift_Cluster,telemetry,bi_squad,2024-12-02 05:44:10,2024-12-24 08:17:14,0.6293,0.7312,292.31,5.0,4025559,0.1268,0.0486,0.0246,v4.1,parquet,ap-southeast-1,MERGE|NORMALIZE|ENCRYPT,pii,high_value,validated,False,True,YES,False
REC-0LC2I2PQ,Aggregation_05,Redshift_Cluster,sensor_readings,finance_ops,2023-01-23 22:01:23,2024-03-19 01:16:40,0.8367,0.9974,616.01,2.0,1976876,0.0351,0.0378,0.0113,v1.4,delta,ap-southeast-1,JOIN|ENCRYPT,internal,archival,quarantined,True,False,YES,False
REC-RT5SA56W,ML_Feature_06,Kafka_Stream,financial_records,bi_squad,2024-05-28 05:52:11,2024-07-20 06:25:50,bad,0.8029,335.15,8.0,Unknown,0.0429,0.0739,0.0029,v5.9,delta,eu-central-1,DEDUPLICATE|ENRICH|NORMALIZE|SPLIT,pii,low_latency,active,False,True,YES,False
REC-YIW9F1KH,ML_Feature_06,MongoDB_Atlas,financial_records,ml_platform,2023-08-12 18:59:32,2024-05-21 21:36:06,0.6244,0.8369,498.18,7.0,2522927,0.0759,0.0059,0.1419,v4.2,delta,us-east-1,AGGREGATE,financial,archival,validated,True,True,NO,False
REC-6KYS96PV,Reporting_07,MySQL_Prod,sensor_readings,analytics_core,2024-11-26 21:01:14,2024-12-14 14:51:08,0.829,0.8851,585.08,3.0,5415874,0.1153,0.038,0.1132,v1.8,delta,ap-south-1,CAST|ENRICH|AGGREGATE|FILTER,public|sensitive|real_time,high_value,validated,False,True,YES,False
REC-JUAPRZJH,Aggregation_05,REST_API_v2,inventory,finance_ops,2023-10-05 02:06:10,2024-08-31 16:05:36,0.9956,0.9166,709.12,1.0,8071339,0.1418,0.0313,0.2996,v5.6,parquet,ap-south-1,CAST|JOIN,operational|public,raw,deprecated,True,True,YES,False
REC-2ICFPDGO,Stream_Ingest_02,PostgreSQL_DB,audit_logs,infra_team,2023-01-23 18:41:20,2023-06-01 13:51:17,0.5768,0.7097,372.0,8.0,2389000,0.1074,0.0214,0.2158,v5.1,json,eu-central-1,AGGREGATE|MERGE|CAST,batch,ml_ready,validated,False,True,YES,False
REC-PVK0ZMEH,Aggregation_05,Oracle_DB,sensor_readings,data_team_beta,2023-05-05 06:15:48,2023-07-07 06:57:20,0.6369,0.9287,51.69,2.0,6782282,0.1428,0.0577,0.2808,v2.5,parquet,ap-southeast-1,MERGE|SPLIT,operational|sensitive|real_time,raw,quarantined,True,True,YES,True
REC-545LZP27,Batch_Transform_03,Redshift_Cluster,transactions,infra_team,2023-03-17 17:30:20,2023-08-12 07:28:48,0.8979,0.7597,50.38,8.0,1229312,0.0143,0.0758,0.2886,v3.7,parquet,ap-south-1,FILTER|ENCRYPT,pii|internal|financial,archival,validated,True,True,YES,False
REC-IFMMRD3A,ML_Feature_06,FTP_Server,audit_logs,data_team_beta,2023-02-26 01:53:59,2023-03-07 23:14:08,0.987,0.7376,456.44,5.0,3801778,0.1246,0.0492,0.2156,v5.5,delta,us-west-2,SPLIT|AGGREGATE,sensitive,ml_ready,deprecated,True,False,YES,True
REC-7D2KT8YJ,Batch_Transform_03,MongoDB_Atlas,audit_logs,infra_team,2023-08-30 09:18:13,2024-10-29 13:20:52,0.7588,0.8876,202.09,2.0,9807631,0.0898,0.0033,0.09,v1.5,delta,ap-south-1,AGGREGATE|ENCRYPT,sensitive|pii|internal,raw,under_review,False,True,YES,False
REC-N5UO7BLP,Aggregation_05,REST_API_v2,sensor_readings,bi_squad,2024-05-09 11:43:33,2024-10-26 20:14:38,0.6787,0.7498,704.91,5.0,3102189,0.097,0.0256,0.0377,v1.0,delta,ap-south-1,JOIN,pii|financial,ml_ready,quarantined,True,True,YES,False
REC-9FM3A0FW,Archival_08,Redshift_Cluster,inventory,finance_ops,2024-09-07 16:46:03,2024-12-10 14:31:49,0.8408,0.8691,97.34,4.0,4614755,0.0486,0.054,0.0461,v4.4,csv,us-west-2,NORMALIZE|FILTER,internal|financial,raw,under_review,True,False,YES,True
REC-TYI6DLLE,Reporting_07,MongoDB_Atlas,transactions,ml_platform,2023-10-11 04:02:41,2024-10-04 07:34:21,0.6814,0.7647,604.52,7.0,4239950,0.1131,0.0668,0.1583,v4.4,json,us-east-1,CAST|MERGE,financial|operational|public,high_value,validated,False,True,NO,True
REC-8YSLRQJS,ETL_Pipeline_01,S3_Bucket_A,clickstream,bi_squad,2024-03-19 23:07:24,2024-04-04 11:51:48,0.5455,0.7509,441.9,7.0,2708201,0.0599,0.0088,0.2239,v1.1,avro,ap-south-1,MERGE|SPLIT|ENCRYPT,real_time|batch|public,archival,validated,True,True,YES,False
REC-QPI0QBHY,Batch_Transform_03,MongoDB_Atlas,sensor_readings,finance_ops,2023-01-12 04:02:03,2024-09-16 10:31:16,0.8034,0.705,612.01,6.0,7237246,0.0812,0.0184,0.1456,v4.8,csv,ap-south-1,FILTER,real_time,low_latency,quarantined,False,True,YES,False
REC-NLUMJPTC,Batch_Transform_03,PostgreSQL_DB,telemetry,finance_ops,2024-05-06 08:11:48,2024-08-19 00:15:55,0.8894,0.7328,201.54,3.0,9961985,0.0935,0.0163,0.0113,v4.4,json,ap-south-1,ENCRYPT|MERGE|DEDUPLICATE|NORMALIZE,pii|operational|batch,high_value,validated,False,True,YES,False
REC-EI4CEBV5,Archival_08,MySQL_Prod,telemetry,infra_team,2023-12-23 19:47:56,2024-11-22 00:39:10,0.5505,0.9708,271.39,3.0,704674,0.0835,0.0612,0.1134,v5.0,json,us-east-1,JOIN|AGGREGATE,pii|financial,ml_ready,validated,True,True,YES,False
REC-0QOFX2KC,Batch_Transform_03,PostgreSQL_DB,inventory,ml_platform,2024-03-02 03:04:12,2024-03-15 06:29:05,0.9216,0.9283,409.59,7.0,1091922,0.0197,0.0646,0.05,v5.5,delta,us-west-2,DEDUPLICATE,operational|financial,archival,validated,False,True,YES,False
